type,amountOfAttributes,executionTime
hashlist,618,1
hashlist,619,0
hashlist,620,1
hashlist,621,0
hashlist,622,1
hashlist,623,0
hashlist,624,1
hashlist,625,0
hashlist,626,1
hashlist,627,1
hashlist,628,0
hashlist,629,1
hashlist,630,0
hashlist,631,1
hashlist,632,0
hashlist,633,1
hashlist,634,0
hashlist,635,1
hashlist,636,1
hashlist,637,0
hashlist,638,1
hashlist,639,1
hashlist,640,0
hashlist,641,1
hashlist,642,0
hashlist,643,1
hashlist,644,1
hashlist,645,0
hashlist,646,1
hashlist,647,0
hashlist,648,1
hashlist,649,1
hashlist,650,0
hashlist,651,1
hashlist,652,1
hashlist,653,0
hashlist,654,1
hashlist,655,1
hashlist,656,1
hashlist,657,1
hashlist,658,1
hashlist,659,1
hashlist,660,0
hashlist,661,1
hashlist,662,1
hashlist,663,1
hashlist,664,0
hashlist,665,1
hashlist,666,1
hashlist,667,0
hashlist,668,1
hashlist,669,0
hashlist,670,1
hashlist,671,1
hashlist,672,1
hashlist,673,1
hashlist,674,1
hashlist,675,0
hashlist,676,1
hashlist,677,1
hashlist,678,0
hashlist,679,1
hashlist,680,1
hashlist,681,0
hashlist,682,1
hashlist,683,1
hashlist,684,1
hashlist,685,0
hashlist,686,1
hashlist,687,1
hashlist,688,0
hashlist,689,2
hashlist,690,0
hashlist,691,1
hashlist,692,1
hashlist,693,0
hashlist,694,1
hashlist,695,1
hashlist,696,0
hashlist,697,1
hashlist,698,1
hashlist,699,0
hashlist,700,1
hashlist,701,1
hashlist,702,0
hashlist,703,1
hashlist,704,1
hashlist,705,0
hashlist,706,1
hashlist,707,1
hashlist,708,1
hashlist,709,0
hashlist,710,1
hashlist,711,1
hashlist,712,0
hashlist,713,1
hashlist,714,1
hashlist,715,1
hashlist,716,0
hashlist,717,1
hashlist,718,1
hashlist,719,0
hashlist,720,1
hashlist,721,1
hashlist,722,0
hashlist,723,1
hashlist,724,2
hashlist,725,0
hashlist,726,1
hashlist,727,1
hashlist,728,1
hashlist,729,0
hashlist,730,1
hashlist,731,1
hashlist,732,1
hashlist,733,1
hashlist,734,1
hashlist,735,0
hashlist,736,1
hashlist,737,1
hashlist,738,1
hashlist,739,0
hashlist,740,1
hashlist,741,1
hashlist,742,1
hashlist,743,1
hashlist,744,0
hashlist,745,1
hashlist,746,2
hashlist,747,0
hashlist,748,1
hashlist,749,1
hashlist,750,1
hashlist,751,1
hashlist,752,1
hashlist,753,0
hashlist,754,1
hashlist,755,1
hashlist,756,1
hashlist,757,0
hashlist,758,2
hashlist,759,0
hashlist,760,1
hashlist,761,1
hashlist,762,1
hashlist,763,1
hashlist,764,0
hashlist,765,1
hashlist,766,1
hashlist,767,1
hashlist,768,0
hashlist,769,1
hashlist,770,1
hashlist,771,1
hashlist,772,1
hashlist,773,1
hashlist,774,1
hashlist,775,0
hashlist,776,1
hashlist,777,1
hashlist,778,1
hashlist,779,1
hashlist,780,0
hashlist,781,1
hashlist,782,1
hashlist,783,1
hashlist,784,1
hashlist,785,0
hashlist,786,1
hashlist,787,1
hashlist,788,1
hashlist,789,1
hashlist,790,1
hashlist,791,1
hashlist,792,1
hashlist,793,1
hashlist,794,1
hashlist,795,1
hashlist,796,1
hashlist,797,1
hashlist,798,1
hashlist,799,0
hashlist,800,1
hashlist,801,1
hashlist,802,1
hashlist,803,1
hashlist,804,1
hashlist,805,1
hashlist,806,1
hashlist,807,1
hashlist,808,4
hashlist,809,3
hashlist,810,3
hashlist,811,3
hashlist,812,3
hashlist,813,3
hashlist,814,3
hashlist,815,3
hashlist,816,3
hashlist,817,3
hashlist,818,3
hashlist,819,3
hashlist,820,3
hashlist,821,3
hashlist,822,3
hashlist,823,3
hashlist,824,3
hashlist,825,3
hashlist,826,3
hashlist,827,2
hashlist,828,1
hashlist,829,1
hashlist,830,1
hashlist,831,1
hashlist,832,0
hashlist,833,1
hashlist,834,1
hashlist,835,1
hashlist,836,1
hashlist,837,1
hashlist,838,1
hashlist,839,1
hashlist,840,1
hashlist,841,1
hashlist,842,1
hashlist,843,1
hashlist,844,1
hashlist,845,1
hashlist,846,1
hashlist,847,1
hashlist,848,1
hashlist,849,1
hashlist,850,1
hashlist,851,1
hashlist,852,1
hashlist,853,1
hashlist,854,1
hashlist,855,1
hashlist,856,1
hashlist,857,1
hashlist,858,2
hashlist,859,0
hashlist,860,1
hashlist,861,1
hashlist,862,1
hashlist,863,1
hashlist,864,1
hashlist,865,1
hashlist,866,1
hashlist,867,1
hashlist,868,1
hashlist,869,2
hashlist,870,1
hashlist,871,1
hashlist,872,2
hashlist,873,1
hashlist,874,1
hashlist,875,1
hashlist,876,1
hashlist,877,1
hashlist,878,1
