type,amountOfAttributes,executionTime
merkletree,767,0
merkletree,768,0
merkletree,769,1
merkletree,770,0
merkletree,771,1
merkletree,772,0
merkletree,773,0
merkletree,774,1
merkletree,775,0
merkletree,776,1
merkletree,777,0
merkletree,778,0
merkletree,779,1
merkletree,780,0
merkletree,781,1
merkletree,782,0
merkletree,783,0
merkletree,784,1
merkletree,785,0
merkletree,786,1
merkletree,787,0
merkletree,788,0
merkletree,789,1
merkletree,790,0
merkletree,791,1
merkletree,792,0
merkletree,793,0
merkletree,794,1
merkletree,795,0
merkletree,796,1
merkletree,797,0
merkletree,798,0
merkletree,799,1
merkletree,800,1
merkletree,801,0
merkletree,802,0
merkletree,803,1
merkletree,804,0
merkletree,805,1
merkletree,806,0
merkletree,807,0
merkletree,808,1
merkletree,809,0
merkletree,810,1
merkletree,811,0
merkletree,812,0
merkletree,813,1
merkletree,814,0
merkletree,815,1
merkletree,816,0
merkletree,817,0
merkletree,818,1
merkletree,819,0
merkletree,820,1
merkletree,821,0
merkletree,822,0
merkletree,823,1
merkletree,824,0
merkletree,825,1
merkletree,826,0
merkletree,827,0
merkletree,828,1
merkletree,829,0
merkletree,830,1
merkletree,831,0
merkletree,832,0
merkletree,833,1
merkletree,834,0
merkletree,835,1
merkletree,836,0
merkletree,837,0
merkletree,838,1
merkletree,839,0
merkletree,840,1
merkletree,841,0
merkletree,842,0
merkletree,843,1
merkletree,844,1
merkletree,845,0
merkletree,846,1
merkletree,847,0
merkletree,848,0
merkletree,849,1
merkletree,850,0
merkletree,851,1
merkletree,852,0
merkletree,853,1
merkletree,854,0
merkletree,855,0
merkletree,856,1
merkletree,857,0
merkletree,858,1
merkletree,859,1
merkletree,860,0
merkletree,861,1
merkletree,862,0
merkletree,863,0
merkletree,864,1
merkletree,865,0
merkletree,866,1
merkletree,867,0
merkletree,868,1
merkletree,869,0
merkletree,870,0
merkletree,871,1
merkletree,872,0
merkletree,873,1
merkletree,874,0
merkletree,875,1
merkletree,876,0
merkletree,877,0
merkletree,878,1
merkletree,879,1
merkletree,880,0
merkletree,881,1
merkletree,882,0
merkletree,883,1
merkletree,884,0
merkletree,885,0
merkletree,886,1
merkletree,887,0
merkletree,888,1
merkletree,889,0
merkletree,890,1
merkletree,891,0
merkletree,892,1
merkletree,893,0
merkletree,894,1
merkletree,895,0
merkletree,896,1
merkletree,897,0
merkletree,898,0
merkletree,899,1
merkletree,900,0
merkletree,901,1
merkletree,902,0
merkletree,903,1
merkletree,904,0
merkletree,905,1
merkletree,906,0
merkletree,907,0
merkletree,908,1
merkletree,909,0
merkletree,910,1
merkletree,911,0
merkletree,912,1
merkletree,913,0
merkletree,914,1
merkletree,915,0
merkletree,916,1
merkletree,917,1
merkletree,918,0
merkletree,919,1
merkletree,920,0
merkletree,921,0
merkletree,922,1
merkletree,923,1
merkletree,924,0
merkletree,925,0
merkletree,926,1
merkletree,927,0
merkletree,928,1
merkletree,929,0
merkletree,930,1
merkletree,931,0
merkletree,932,1
merkletree,933,0
merkletree,934,1
merkletree,935,0
merkletree,936,1
merkletree,937,0
merkletree,938,0
merkletree,939,1
merkletree,940,0
merkletree,941,1
merkletree,942,0
merkletree,943,1
merkletree,944,0
merkletree,945,1
merkletree,946,0
merkletree,947,1
merkletree,948,0
merkletree,949,1
merkletree,950,0
merkletree,951,1
merkletree,952,0
merkletree,953,1
merkletree,954,0
merkletree,955,1
merkletree,956,0
merkletree,957,1
merkletree,958,0
merkletree,959,1
merkletree,960,0
merkletree,961,1
merkletree,962,0
merkletree,963,1
merkletree,964,0
merkletree,965,1
merkletree,966,0
merkletree,967,1
merkletree,968,0
merkletree,969,1
merkletree,970,0
merkletree,971,0
merkletree,972,1
merkletree,973,0
merkletree,974,1
merkletree,975,0
merkletree,976,1
merkletree,977,1
merkletree,978,0
merkletree,979,1
merkletree,980,0
merkletree,981,1
merkletree,982,0
merkletree,983,1
merkletree,984,0
merkletree,985,1
merkletree,986,0
merkletree,987,1
merkletree,988,0
merkletree,989,1
merkletree,990,0
merkletree,991,1
merkletree,992,0
merkletree,993,1
merkletree,994,0
merkletree,995,1
merkletree,996,0
merkletree,997,1
merkletree,998,1
merkletree,999,0
merkletree,1000,1
merkletree,1001,0
merkletree,1002,1
merkletree,1003,0
merkletree,1004,2
merkletree,1005,0
merkletree,1006,1
merkletree,1007,0
merkletree,1008,0
merkletree,1009,1
merkletree,1010,0
merkletree,1011,1
merkletree,1012,0
merkletree,1013,0
merkletree,1014,1
merkletree,1015,0
merkletree,1016,1
merkletree,1017,0
merkletree,1018,0
merkletree,1019,1
merkletree,1020,0
merkletree,1021,1
merkletree,1022,0
merkletree,1023,0
merkletree,1024,1
merkletree,1025,0
merkletree,1026,1
merkletree,1027,0
merkletree,1028,0
merkletree,1029,1
merkletree,1030,0
merkletree,1031,1
merkletree,1032,0
merkletree,1033,0
merkletree,1034,1
merkletree,1035,0
merkletree,1036,1
merkletree,1037,0
merkletree,1038,0
